cell_id,crash_count,gi_zscore,gi_pvalue,hotspot_category,lat,lon
109,2,-0.37694526391951266,0.085,Not Significant,52.43635260831566,-2.013804464293959
110,2,-0.2973297939647218,0.287,Not Significant,52.44084761876581,-2.013805895975093
111,14,0.1742387588444238,0.032,Not Significant,52.44534262577641,-2.0138073280335576
112,0,-0.42593939927630703,0.209,Not Significant,52.44983762934764,-2.0138087604694834
113,0,-0.48718206847229995,0.062,Not Significant,52.45433262947965,-2.013810193283007
114,0,-0.4504364669547042,0.146,Not Significant,52.45882762617259,-2.0138116264742614
115,1,-0.44431220003510485,0.052,Not Significant,52.46332261942656,-2.0138130600433746
116,0,-0.5178034030702964,0.027,Not Significant,52.46781760924179,-2.0138144939904845
117,0,-0.5545490045878921,0.001,Not Significant,52.472312595618384,-2.0138159283157226
118,0,-0.5545490045878921,0.001,Not Significant,52.47680757855651,-2.013817363019221
119,0,-0.5545490045878921,0.001,Not Significant,52.481302558056306,-2.0138187981011146
120,0,-0.5545490045878921,0.001,Not Significant,52.48579753411792,-2.013820233561535
121,0,-0.5545490045878921,0.001,Not Significant,52.490292506741525,-2.013821669400616
122,0,-0.5545490045878921,0.001,Not Significant,52.494787475927254,-2.013823105618492
123,0,-0.5545490045878921,0.001,Not Significant,52.49928244167526,-2.0138245422152945
124,0,-0.5545490045878921,0.001,Not Significant,52.50377740398569,-2.01382597919116
125,0,-0.5545490045878921,0.001,Not Significant,52.5082723628587,-2.0138274165462193
126,0,-0.5545490045878921,0.001,Not Significant,52.512767318294436,-2.013828854280606
127,0,-0.5545490045878921,0.001,Not Significant,52.51726227029307,-2.0138302923944553
128,0,-0.5545490045878921,0.001,Not Significant,52.52175721885473,-2.0138317308879006
129,0,-0.5545490045878921,0.001,Not Significant,52.526252163979585,-2.013833169761076
130,0,-0.5545490045878921,0.001,Not Significant,52.53074710566778,-2.013834609014114
131,0,-0.5545490045878921,0.001,Not Significant,52.53524204391944,-2.0138360486471494
132,0,-0.5545490045878921,0.001,Not Significant,52.53973697873474,-2.013837488660317
133,0,-0.5545490045878921,0.001,Not Significant,52.544231910113865,-2.0138389290537493
134,0,-0.5545490045878921,0.001,Not Significant,52.54872683805692,-2.013840369827582
135,0,-0.5545490045878921,0.001,Not Significant,52.553221762564064,-2.0138418109819485
136,0,-0.5545490045878921,0.001,Not Significant,52.557716683635476,-2.013843252516982
137,0,-0.5545490045878921,0.001,Not Significant,52.562211601271265,-2.0138446944328185
138,0,-0.5545490045878921,0.001,Not Significant,52.56670651547163,-2.0138461367295926
139,0,-0.5545490045878921,0.001,Not Significant,52.57120142623669,-2.0138475794074377
140,0,-0.5545490045878921,0.001,Not Significant,52.575696333566604,-2.0138490224664882
141,0,-0.5545490045878921,0.001,Not Significant,52.580191237461534,-2.0138504659068794
142,0,-0.5545490045878921,0.001,Not Significant,52.58468613792163,-2.013851909728746
143,0,-0.5545490045878921,0.001,Not Significant,52.58918103494704,-2.013853353932222
144,0,-0.5545490045878921,0.001,Not Significant,52.59367592853791,-2.013854798517442
145,0,-0.5545490045878921,0.001,Not Significant,52.598170818694385,-2.013856243484542
146,0,-0.554549004587892,0.001,Not Significant,52.602665705416676,-2.013857688833656
147,1,-0.34877363608935585,0.375,Not Significant,52.38690791136855,-2.00644218747197
148,3,-0.18096872249233523,0.44,Not Significant,52.391402959767106,-2.00644286872269
149,7,-0.04623485026115077,0.306,Not Significant,52.395898004724515,-2.006443550152524
150,2,-0.21159005709033168,0.495,Not Significant,52.40039304624093,-2.0064442317615367
151,4,-0.1870929894119345,0.32,Not Significant,52.40488808431647,-2.006444913549788
152,0,-0.3830695308391119,0.32,Not Significant,52.409383118951304,-2.0064455955173437
153,0,-0.47493353463310134,0.086,Not Significant,52.4138781501456,-2.0064462776642653
154,0,-0.5423004707486936,0.009,Not Significant,52.41837317789947,-2.0064469599906163
155,0,-0.530051936909495,0.02,Not Significant,52.422868202213074,-2.00644764249646
156,1,-0.44431220003510485,0.052,Not Significant,52.42736322308661,-2.006448325181861
157,2,-0.3157025947235197,0.238,Not Significant,52.43185824052016,-2.006449008046878
158,5,-0.13197458713554086,0.329,Not Significant,52.43635325451393,-2.006449691091579
159,4,-0.11972605329634226,0.481,Not Significant,52.440848265068006,-2.006450374316024
160,1,-0.3463239293215161,0.287,Not Significant,52.4453432721826,-2.006451057720278
